DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
02/21/2017,01:00,AEEC, 15.81,N
02/21/2017,01:00,AMISTAD_ALL, 16.28,N
02/21/2017,01:00,AMOCOOIL_CC1, 16.86,N
02/21/2017,01:00,AMOCOOIL_CC2, 16.86,N
02/21/2017,01:00,AMOCO_PUN1, 16.86,N
02/21/2017,01:00,AMOCO_PUN2, 16.86,N
02/21/2017,01:00,AMO_AMOCO_1, 16.86,N
02/21/2017,01:00,AMO_AMOCO_2, 16.86,N
02/21/2017,01:00,AMO_AMOCO_5, 16.86,N
02/21/2017,01:00,AMO_AMOCO_G1, 16.86,N
02/21/2017,01:00,AMO_AMOCO_G2, 16.86,N
02/21/2017,01:00,AMO_AMOCO_G3, 16.86,N
02/21/2017,01:00,AMO_AMOCO_S1, 16.86,N
02/21/2017,01:00,AMO_AMOCO_S2, 16.86,N
02/21/2017,01:00,ANACACHO_ANA, 16.47,N
02/21/2017,01:00,ATK_ATKINSG7, 15.78,N
02/21/2017,01:00,AUSTPL_ALL, 16.57,N
02/21/2017,01:00,AZ_ALL, 16.88,N
02/21/2017,01:00,BAC_RN_ALL, 16.86,N
02/21/2017,01:00,BAFFIN_ALL, 12.88,N
02/21/2017,01:00,BASTEN_CC1, 16.57,N
02/21/2017,01:00,BASTEN_CCU, 16.57,N
02/21/2017,01:00,BBSES_UNIT1, 16.28,N
02/21/2017,01:00,BBSES_UNIT2, 16.28,N
02/21/2017,01:00,BCATWD_WD_1, 15.68,N
02/21/2017,01:00,BFM_HYD_ST1, 16.87,N
02/21/2017,01:00,BLSMT1_5_A_6, 15.75,N
02/21/2017,01:00,BOOTLEG_UN1, 15.98,N
02/21/2017,01:00,BORDAS_345, 16.6,N
02/21/2017,01:00,BORDAS_ALL, 16.59,N
02/21/2017,01:00,BOSQUESW_CC1, 16.18,N
02/21/2017,01:00,BOSQUESW_CC2, 16.2,N
02/21/2017,01:00,BOSQ_BSQSU_5, 16.2,N
02/21/2017,01:00,BOSQ_BSQS_12, 16.2,N
02/21/2017,01:00,BOSQ_BSQS_34, 16.18,N
02/21/2017,01:00,BRAUNIG_CC1, 16.56,N
02/21/2017,01:00,BRAUNIG_VHB1, 16.81,N
02/21/2017,01:00,BRAUNIG_VHB2, 16.81,N
02/21/2017,01:00,BRAUNIG_VHB3, 16.57,N
02/21/2017,01:00,BRAZ_WND_ALL, 15.87,N
02/21/2017,01:00,BRA_AVR1_CT2, 16.56,N
02/21/2017,01:00,BRA_AVR_CST1, 16.56,N
02/21/2017,01:00,BRISCOE_WIND, 15.79,N
02/21/2017,01:00,BRTSW_BCW1, 15.66,N
02/21/2017,01:00,BR_VHB6CT5_6, 16.81,N
02/21/2017,01:00,BR_VHB6CT7_8, 16.81,N
02/21/2017,01:00,BSF_PUN1, 16.83,N
02/21/2017,01:00,BSF_PUN2, 16.83,N
02/21/2017,01:00,BTE_BTE_G1, 16.88,N
02/21/2017,01:00,BTE_BTE_G2, 16.88,N
02/21/2017,01:00,BTE_BTE_G3, 16.88,N
02/21/2017,01:00,BTE_BTE_G4, 16.88,N
02/21/2017,01:00,BTE_CC1, 16.88,N
02/21/2017,01:00,BTE_PUN1, 16.88,N
02/21/2017,01:00,BTE_PUN2, 16.88,N
02/21/2017,01:00,BUCHAN_ALL, 16.41,N
02/21/2017,01:00,BUFF_GAP_ALL, 15.92,N
02/21/2017,01:00,BULLCRK_1_2, 15.89,N
02/21/2017,01:00,BVE_CC1, 16.85,N
02/21/2017,01:00,BVE_UNIT1, 16.85,N
02/21/2017,01:00,BVE_UNIT2, 16.85,N
02/21/2017,01:00,BVE_UNIT3, 16.85,N
02/21/2017,01:00,BYU_BYU_1, 16.87,N
02/21/2017,01:00,BYU_BYU_12, 16.87,N
02/21/2017,01:00,BYU_BYU_34, 16.87,N
02/21/2017,01:00,BYU_BYU_G8, 16.87,N
02/21/2017,01:00,BYU_CC1, 16.87,N
02/21/2017,01:00,BYU_PUN1, 16.87,N
02/21/2017,01:00,BYU_PUN2, 16.87,N
02/21/2017,01:00,BYU_PUN3, 16.87,N
02/21/2017,01:00,BYU_PUN4, 16.87,N
02/21/2017,01:00,B_DAVIS_3, 16.63,N
02/21/2017,01:00,B_DAVIS_4, 16.63,N
02/21/2017,01:00,B_DAVIS_CC1, 16.63,N
02/21/2017,01:00,B_D_B_DAVIG1, 16.63,N
02/21/2017,01:00,B_D_B_DAVIG2, 16.63,N
02/21/2017,01:00,CALAVER_JKS1, 16.56,N
02/21/2017,01:00,CALAVER_JKS2, 16.56,N
02/21/2017,01:00,CALAVER_JTD1, 16.56,N
02/21/2017,01:00,CALAVER_JTD2, 16.66,N
02/21/2017,01:00,CALAVER_OWS1, 16.77,N
02/21/2017,01:00,CALAVER_OWS2, 16.77,N
02/21/2017,01:00,CALLAHA_WND1, 15.94,N
02/21/2017,01:00,CAL_ALL, 16.88,N
02/21/2017,01:00,CAL_CALGT1, 16.88,N
02/21/2017,01:00,CAL_CALSTG1, 16.88,N
02/21/2017,01:00,CAL_CC1, 16.88,N
02/21/2017,01:00,CAL_PUN1, 16.88,N
02/21/2017,01:00,CAL_PUN2, 16.88,N
02/21/2017,01:00,CAMWIND_RN, 16.61,N
02/21/2017,01:00,CAPRIDG4_CR4, 15.96,N
02/21/2017,01:00,CAPRIDGE_ALL, 15.96,N
02/21/2017,01:00,CARBN_BSP_1, 15.91,N
02/21/2017,01:00,CBECII_1, 16.8,N
02/21/2017,01:00,CBECII_2, 16.8,N
02/21/2017,01:00,CBECII_CC3, 16.8,N
02/21/2017,01:00,CBEC_ALL, 16.8,N
02/21/2017,01:00,CBEC_CC1, 16.8,N
02/21/2017,01:00,CBEC_CC2, 16.8,N
02/21/2017,01:00,CBY4_ALL, 16.88,N
02/21/2017,01:00,CBY4_CC1, 16.88,N
02/21/2017,01:00,CBY_CBY_G1, 16.88,N
02/21/2017,01:00,CBY_CBY_G2, 16.88,N
02/21/2017,01:00,CCEC_CC1, 16.63,N
02/21/2017,01:00,CCEC_GT1, 16.63,N
02/21/2017,01:00,CCEC_GT2, 16.63,N
02/21/2017,01:00,CCEC_PUN1, 16.63,N
02/21/2017,01:00,CCEC_PUN2, 16.63,N
02/21/2017,01:00,CCEC_ST1, 16.63,N
02/21/2017,01:00,CEDROHI_CHW1, 16.6,N
02/21/2017,01:00,CHEDPW_GT2, 16.88,N
02/21/2017,01:00,CHE_CC1, 16.88,N
02/21/2017,01:00,CHE_LYD, 16.88,N
02/21/2017,01:00,CHE_LYD2, 16.88,N
02/21/2017,01:00,CHE_PUN1, 16.88,N
02/21/2017,01:00,CHE_PUN2, 16.88,N
02/21/2017,01:00,COL_COLETOG1, 16.62,N
02/21/2017,01:00,COTPLNS_RN, 15.81,N
02/21/2017,01:00,COTTON_PAP2, 16.63,N
02/21/2017,01:00,CPSES_UNIT1, 15.93,N
02/21/2017,01:00,CPSES_UNIT2, 15.93,N
02/21/2017,01:00,CSC_CSECG1_2, 15.87,N
02/21/2017,01:00,CTL_GT_102, 16.87,N
02/21/2017,01:00,CTL_GT_103, 16.87,N
02/21/2017,01:00,CTL_GT_104, 16.87,N
02/21/2017,01:00,CTL_PUN1, 16.87,N
02/21/2017,01:00,CTL_PUN2, 16.87,N
02/21/2017,01:00,CTL_PUN3, 16.87,N
02/21/2017,01:00,CTL_ST_101, 16.87,N
02/21/2017,01:00,CVC_CC1, 16.88,N
02/21/2017,01:00,CVC_CVCG1_5, 16.88,N
02/21/2017,01:00,CVC_CVC_G2, 16.88,N
02/21/2017,01:00,CVC_CVC_G3, 16.88,N
02/21/2017,01:00,DANSBY_ALL, 15.74,N
02/21/2017,01:00,DC2SES_ALL, 15.96,N
02/21/2017,01:00,DC_E, 16.56,N
02/21/2017,01:00,DC_L, 16.59,N
02/21/2017,01:00,DC_N, 15.74,N
02/21/2017,01:00,DC_R, 16.61,N
02/21/2017,01:00,DC_S, 16.46,N
02/21/2017,01:00,DDPEC_CC1, 16.87,N
02/21/2017,01:00,DDPEC_GT1, 16.87,N
