DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
03/07/2017,01:00,AEEC, 11.02,N
03/07/2017,01:00,AMISTAD_ALL, 16.96,N
03/07/2017,01:00,AMOCOOIL_CC1, 18.58,N
03/07/2017,01:00,AMOCOOIL_CC2, 18.58,N
03/07/2017,01:00,AMOCO_PUN1, 18.58,N
03/07/2017,01:00,AMOCO_PUN2, 18.58,N
03/07/2017,01:00,AMO_AMOCO_1, 18.58,N
03/07/2017,01:00,AMO_AMOCO_2, 18.58,N
03/07/2017,01:00,AMO_AMOCO_5, 18.58,N
03/07/2017,01:00,AMO_AMOCO_G1, 18.58,N
03/07/2017,01:00,AMO_AMOCO_G2, 18.58,N
03/07/2017,01:00,AMO_AMOCO_G3, 18.58,N
03/07/2017,01:00,AMO_AMOCO_S1, 18.58,N
03/07/2017,01:00,AMO_AMOCO_S2, 18.58,N
03/07/2017,01:00,ANACACHO_ANA, 17.12,N
03/07/2017,01:00,ATK_ATKINSG7, 16.16,N
03/07/2017,01:00,AUSTPL_ALL, 17.44,N
03/07/2017,01:00,AZ_ALL, 18.68,N
03/07/2017,01:00,BAC_RN_ALL, 18.59,N
03/07/2017,01:00,BAFFIN_ALL, 12.41,N
03/07/2017,01:00,BASTEN_CC1, 17.58,N
03/07/2017,01:00,BASTEN_CCU, 17.58,N
03/07/2017,01:00,BBSES_UNIT1, 16.38,N
03/07/2017,01:00,BBSES_UNIT2, 16.38,N
03/07/2017,01:00,BCATWD_WD_1, 16.62,N
03/07/2017,01:00,BFM_HYD_ST1, 18.64,N
03/07/2017,01:00,BLSMT1_5_A_6, 16.62,N
03/07/2017,01:00,BOOTLEG_UN1, 16.74,N
03/07/2017,01:00,BORDAS_345, 14.76,N
03/07/2017,01:00,BORDAS_ALL, 14.84,N
03/07/2017,01:00,BOSQUESW_CC1, 15.5,N
03/07/2017,01:00,BOSQUESW_CC2, 15.5,N
03/07/2017,01:00,BOSQ_BSQSU_5, 15.5,N
03/07/2017,01:00,BOSQ_BSQS_12, 15.5,N
03/07/2017,01:00,BOSQ_BSQS_34, 15.5,N
03/07/2017,01:00,BRAUNIG_CC1, 17.41,N
03/07/2017,01:00,BRAUNIG_VHB1, 17.8,N
03/07/2017,01:00,BRAUNIG_VHB2, 17.8,N
03/07/2017,01:00,BRAUNIG_VHB3, 17.55,N
03/07/2017,01:00,BRAZ_WND_ALL, 16.69,N
03/07/2017,01:00,BRA_AVR1_CT2, 17.41,N
03/07/2017,01:00,BRA_AVR_CST1, 17.41,N
03/07/2017,01:00,BRISCOE_WIND, 11.01,N
03/07/2017,01:00,BRTSW_BCW1, 16.63,N
03/07/2017,01:00,BR_VHB6CT5_6, 17.8,N
03/07/2017,01:00,BR_VHB6CT7_8, 17.8,N
03/07/2017,01:00,BSF_PUN1, 18.77,N
03/07/2017,01:00,BSF_PUN2, 18.77,N
03/07/2017,01:00,BTE_BTE_G1, 18.69,N
03/07/2017,01:00,BTE_BTE_G2, 18.69,N
03/07/2017,01:00,BTE_BTE_G3, 18.69,N
03/07/2017,01:00,BTE_BTE_G4, 18.69,N
03/07/2017,01:00,BTE_CC1, 18.69,N
03/07/2017,01:00,BTE_PUN1, 18.69,N
03/07/2017,01:00,BTE_PUN2, 18.69,N
03/07/2017,01:00,BUCHAN_ALL, 16.77,N
03/07/2017,01:00,BUFF_GAP_ALL, 16.73,N
03/07/2017,01:00,BULLCRK_1_2, 16.7,N
03/07/2017,01:00,BVE_CC1, 18.48,N
03/07/2017,01:00,BVE_UNIT1, 18.48,N
03/07/2017,01:00,BVE_UNIT2, 18.48,N
03/07/2017,01:00,BVE_UNIT3, 18.48,N
03/07/2017,01:00,BYU_BYU_1, 18.64,N
03/07/2017,01:00,BYU_BYU_12, 18.64,N
03/07/2017,01:00,BYU_BYU_34, 18.64,N
03/07/2017,01:00,BYU_BYU_G8, 18.64,N
03/07/2017,01:00,BYU_CC1, 18.64,N
03/07/2017,01:00,BYU_PUN1, 18.64,N
03/07/2017,01:00,BYU_PUN2, 18.64,N
03/07/2017,01:00,BYU_PUN3, 18.64,N
03/07/2017,01:00,BYU_PUN4, 18.64,N
03/07/2017,01:00,B_DAVIS_3, 9.98,N
03/07/2017,01:00,B_DAVIS_4, 9.98,N
